run_id,start_time,tags.data_version,tags.model_type,tags.kpi_status,metrics.test_rmse,metrics.test_mae,metrics.test_r2,metrics.cv_rmse_mean,metrics.cv_rmse_std
d3bb2ed142bb,2026-02-22 20:58:22.303000+00:00,v1,gradient_boosting,PASS,2.0165605389109307,1.60347974744218,0.9333782362029992,2.818264346487063,1.3375724879208166
da4069c1f028,2026-02-22 21:02:30.846000+00:00,v1,random_forest,PASS,1.9538756296905189,1.5474777594364886,0.9374557441593745,2.368756787841299,0.9380033580423052
4db7fea5b959,2026-02-22 21:02:34.538000+00:00,v1,linear_regression,PASS,1.6993628494128794,1.3057589433148622,0.9526885959300516,3.9820851221597047,3.417219319566778
29aba41a9ae2,2026-02-22 21:02:41.725000+00:00,v2,gradient_boosting,PASS,1.858822799761332,1.4854226912471207,0.8923191030108136,2.053977965302445,0.5807373886889474
f636f1cc1001,2026-02-22 21:02:45.855000+00:00,v2,random_forest,PASS,1.671767422223636,1.3021452049159206,0.9129007533223281,1.8800210621108924,0.42679924101488725
4cc37ebf9a66,2026-02-22 21:03:07.858000+00:00,v2,gradient_boosting,PASS,1.8283392400526008,1.4803655254054928,0.895821945324662,2.0824025905149504,0.4525039368182995
e52e9f581cc1,2026-02-22 21:03:09.788000+00:00,v2,gradient_boosting,PASS,1.8283392400526008,1.4803655254054928,0.895821945324662,2.0824025905149504,0.4525039368182995
cfa67c7f0761,2026-02-22 21:03:10.086000+00:00,v2,gradient_boosting,PASS,1.8283392400526008,1.4803655254054928,0.895821945324662,2.082383979129198,0.45247828588093997
e8eadca57b79,2026-02-22 21:03:10.386000+00:00,v2,gradient_boosting,PASS,1.7215247760558667,1.3423849925089941,0.9076388699539861,1.9427979816336214,0.36272765873313956
79b95d5b39e1,2026-02-22 21:03:12.233000+00:00,v2,gradient_boosting,PASS,1.7175302413610807,1.3391005663347564,0.90806699240619,1.936813153956466,0.3594793211234196
1a9861d3a302,2026-02-22 21:03:13.957000+00:00,v2,gradient_boosting,PASS,1.7188010162122185,1.3387161590159977,0.907930902373905,1.9368019395792218,0.3568925126161104
c2e8e7a68e30,2026-02-22 21:03:14.240000+00:00,v2,gradient_boosting,PASS,1.8192318789371154,1.399999321584104,0.8968572281479071,2.0249884504524065,0.4412276728591566
6e51f8bf05a1,2026-02-22 21:03:14.518000+00:00,v2,gradient_boosting,PASS,1.818875790523545,1.4028449311743514,0.8968976016175482,2.0050563020658916,0.4476747578696145
f0ef9c4552be,2026-02-22 21:03:14.804000+00:00,v2,gradient_boosting,PASS,1.8011136946436945,1.3997872756249998,0.898901446972482,1.9940392329306025,0.4134722515444504
341ddff2d402,2026-02-22 21:03:15.099000+00:00,v2,gradient_boosting,PASS,1.9056471794344918,1.529598527369738,0.8868257367765248,2.168519471255309,0.5678368009610564
8c8cc27b2138,2026-02-22 21:03:15.508000+00:00,v2,gradient_boosting,PASS,1.912992456828067,1.5404542304822368,0.8859515996608692,2.148718382740393,0.5296552239951562
33e97d0686b8,2026-02-22 21:03:15.926000+00:00,v2,gradient_boosting,PASS,1.91450728435484,1.5413190649780548,0.8857709067802927,2.157790002544924,0.5469921740043895
874498a16cee,2026-02-22 21:03:16.337000+00:00,v2,gradient_boosting,PASS,1.7855291700580664,1.4163433710562412,0.9006434318320082,2.053006221446856,0.4937601868417244
6683f0c6363a,2026-02-22 21:03:16.754000+00:00,v2,gradient_boosting,PASS,1.7899622247412459,1.4301395863156503,0.9001494607688104,2.0467245332431068,0.49245829082312415
9ff981e5dbab,2026-02-22 21:03:17.168000+00:00,v2,gradient_boosting,PASS,1.8729597709327062,1.4876773374104442,0.890674975912346,1.9898768419738453,0.42080843574902216
ceeda8d44764,2026-02-22 21:03:17.587000+00:00,v2,gradient_boosting,PASS,1.8686452691685096,1.4472659679107462,0.8911780723890657,2.0682100683638396,0.4194419628343775
c2f5ca5b18ff,2026-02-22 21:03:18.011000+00:00,v2,gradient_boosting,PASS,1.8726712049807477,1.4542547933343954,0.890708660618111,2.1804423597453413,0.5342987556326708
ec88cde98a7d,2026-02-22 21:03:18.431000+00:00,v2,gradient_boosting,PASS,1.886339796194568,1.4752951606632232,0.8891074073281348,2.0882362286753,0.43570203436428484
5d6b6169b6cf,2026-02-22 21:03:18.851000+00:00,v2,gradient_boosting,PASS,2.0481404656368456,1.6389240837509518,0.8692679235279164,2.2763660657224594,0.6236268977494782
dbd4223972a2,2026-02-22 21:03:19.370000+00:00,v2,gradient_boosting,PASS,2.044630840250404,1.6206237000682717,0.8697155759347968,2.273959874284495,0.6097717184253338
6c495d5fd99f,2026-02-22 21:03:19.907000+00:00,v2,gradient_boosting,PASS,2.051810873426192,1.6320358880156705,0.8687989420367195,2.2060002611384673,0.5258370039728061
478ca28ab88a,2026-02-22 21:03:20.421000+00:00,v2,gradient_boosting,PASS,1.8756173267941936,1.4754075654088206,0.8903645117092812,2.139211390049591,0.5504723158461184
c070f7f07ca9,2026-02-22 21:03:20.947000+00:00,v2,gradient_boosting,PASS,1.8688650670852385,1.4821373667337965,0.8911524706977282,2.0525197570178464,0.4723598590404142
cd8f73ef65e4,2026-02-22 21:03:21.480000+00:00,v2,gradient_boosting,PASS,1.9060527758626873,1.5023980616006558,0.8867775558095444,2.044213792054331,0.41398985866508975
2ebe68e37a04,2026-02-22 21:03:22.001000+00:00,v2,gradient_boosting,PASS,1.956731558074054,1.5109443654302994,0.8806767203116076,2.186044171813427,0.5005315963929425
d0ea86192de3,2026-02-22 21:03:22.552000+00:00,v2,gradient_boosting,PASS,1.981926587586011,1.564557722167302,0.8775841054220646,2.128967405312973,0.38768713251013986
d141baddfaac,2026-02-22 21:03:23.114000+00:00,v2,gradient_boosting,PASS,1.9542421749992156,1.5232756729450674,0.8809801368957023,2.1045132819737296,0.39153654478531247
e44da01523cb,2026-02-22 21:03:23.668000+00:00,v2,gradient_boosting,PASS,1.7168148547061848,1.354329539971546,0.9081435604320741,1.9365517436816502,0.3993755578659062
eb919f339c84,2026-02-22 21:03:25.658000+00:00,v2,gradient_boosting,PASS,1.7171033392724584,1.3544405563087198,0.9081126876895114,1.9356956890872385,0.39381956056411427
